,filepath,blues,classical,country,disco,hiphop,jazz,metal,pop,reggae,rock
0,gtzan/genres_original/blues/blues.00000.wav,True,False,False,False,False,False,False,False,False,False
1,gtzan/genres_original/blues/blues.00001.wav,True,False,False,False,False,False,False,False,False,False
2,gtzan/genres_original/blues/blues.00002.wav,True,False,False,False,False,False,False,False,False,False
3,gtzan/genres_original/blues/blues.00003.wav,True,False,False,False,False,False,False,False,False,False
4,gtzan/genres_original/blues/blues.00004.wav,True,False,False,False,False,False,False,False,False,False
5,gtzan/genres_original/blues/blues.00005.wav,True,False,False,False,False,False,False,False,False,False
6,gtzan/genres_original/blues/blues.00006.wav,True,False,False,False,False,False,False,False,False,False
7,gtzan/genres_original/blues/blues.00007.wav,True,False,False,False,False,False,False,False,False,False
8,gtzan/genres_original/blues/blues.00008.wav,True,False,False,False,False,False,False,False,False,False
9,gtzan/genres_original/blues/blues.00009.wav,True,False,False,False,False,False,False,False,False,False
10,gtzan/genres_original/blues/blues.00010.wav,True,False,False,False,False,False,False,False,False,False
11,gtzan/genres_original/blues/blues.00011.wav,True,False,False,False,False,False,False,False,False,False
12,gtzan/genres_original/blues/blues.00012.wav,True,False,False,False,False,False,False,False,False,False
13,gtzan/genres_original/blues/blues.00013.wav,True,False,False,False,False,False,False,False,False,False
14,gtzan/genres_original/blues/blues.00014.wav,True,False,False,False,False,False,False,False,False,False
15,gtzan/genres_original/blues/blues.00015.wav,True,False,False,False,False,False,False,False,False,False
16,gtzan/genres_original/blues/blues.00016.wav,True,False,False,False,False,False,False,False,False,False
17,gtzan/genres_original/blues/blues.00017.wav,True,False,False,False,False,False,False,False,False,False
18,gtzan/genres_original/blues/blues.00018.wav,True,False,False,False,False,False,False,False,False,False
19,gtzan/genres_original/blues/blues.00019.wav,True,False,False,False,False,False,False,False,False,False
20,gtzan/genres_original/blues/blues.00020.wav,True,False,False,False,False,False,False,False,False,False
21,gtzan/genres_original/blues/blues.00021.wav,True,False,False,False,False,False,False,False,False,False
22,gtzan/genres_original/blues/blues.00022.wav,True,False,False,False,False,False,False,False,False,False
23,gtzan/genres_original/blues/blues.00023.wav,True,False,False,False,False,False,False,False,False,False
24,gtzan/genres_original/blues/blues.00024.wav,True,False,False,False,False,False,False,False,False,False
25,gtzan/genres_original/blues/blues.00025.wav,True,False,False,False,False,False,False,False,False,False
26,gtzan/genres_original/blues/blues.00026.wav,True,False,False,False,False,False,False,False,False,False
27,gtzan/genres_original/blues/blues.00027.wav,True,False,False,False,False,False,False,False,False,False
28,gtzan/genres_original/blues/blues.00028.wav,True,False,False,False,False,False,False,False,False,False
29,gtzan/genres_original/blues/blues.00029.wav,True,False,False,False,False,False,False,False,False,False
30,gtzan/genres_original/blues/blues.00030.wav,True,False,False,False,False,False,False,False,False,False
31,gtzan/genres_original/blues/blues.00031.wav,True,False,False,False,False,False,False,False,False,False
32,gtzan/genres_original/blues/blues.00032.wav,True,False,False,False,False,False,False,False,False,False
33,gtzan/genres_original/blues/blues.00033.wav,True,False,False,False,False,False,False,False,False,False
34,gtzan/genres_original/blues/blues.00034.wav,True,False,False,False,False,False,False,False,False,False
35,gtzan/genres_original/blues/blues.00035.wav,True,False,False,False,False,False,False,False,False,False
36,gtzan/genres_original/blues/blues.00036.wav,True,False,False,False,False,False,False,False,False,False
37,gtzan/genres_original/blues/blues.00037.wav,True,False,False,False,False,False,False,False,False,False
38,gtzan/genres_original/blues/blues.00038.wav,True,False,False,False,False,False,False,False,False,False
39,gtzan/genres_original/blues/blues.00039.wav,True,False,False,False,False,False,False,False,False,False
40,gtzan/genres_original/blues/blues.00040.wav,True,False,False,False,False,False,False,False,False,False
41,gtzan/genres_original/blues/blues.00041.wav,True,False,False,False,False,False,False,False,False,False
42,gtzan/genres_original/blues/blues.00042.wav,True,False,False,False,False,False,False,False,False,False
43,gtzan/genres_original/blues/blues.00043.wav,True,False,False,False,False,False,False,False,False,False
44,gtzan/genres_original/blues/blues.00044.wav,True,False,False,False,False,False,False,False,False,False
45,gtzan/genres_original/blues/blues.00045.wav,True,False,False,False,False,False,False,False,False,False
46,gtzan/genres_original/blues/blues.00046.wav,True,False,False,False,False,False,False,False,False,False
47,gtzan/genres_original/blues/blues.00047.wav,True,False,False,False,False,False,False,False,False,False
48,gtzan/genres_original/blues/blues.00048.wav,True,False,False,False,False,False,False,False,False,False
49,gtzan/genres_original/blues/blues.00049.wav,True,False,False,False,False,False,False,False,False,False
50,gtzan/genres_original/blues/blues.00050.wav,True,False,False,False,False,False,False,False,False,False
51,gtzan/genres_original/blues/blues.00051.wav,True,False,False,False,False,False,False,False,False,False
52,gtzan/genres_original/blues/blues.00052.wav,True,False,False,False,False,False,False,False,False,False
53,gtzan/genres_original/blues/blues.00053.wav,True,False,False,False,False,False,False,False,False,False
54,gtzan/genres_original/blues/blues.00054.wav,True,False,False,False,False,False,False,False,False,False
55,gtzan/genres_original/blues/blues.00055.wav,True,False,False,False,False,False,False,False,False,False
56,gtzan/genres_original/blues/blues.00056.wav,True,False,False,False,False,False,False,False,False,False
57,gtzan/genres_original/blues/blues.00057.wav,True,False,False,False,False,False,False,False,False,False
58,gtzan/genres_original/blues/blues.00058.wav,True,False,False,False,False,False,False,False,False,False
59,gtzan/genres_original/blues/blues.00059.wav,True,False,False,False,False,False,False,False,False,False
60,gtzan/genres_original/blues/blues.00060.wav,True,False,False,False,False,False,False,False,False,False
61,gtzan/genres_original/blues/blues.00061.wav,True,False,False,False,False,False,False,False,False,False
62,gtzan/genres_original/blues/blues.00062.wav,True,False,False,False,False,False,False,False,False,False
63,gtzan/genres_original/blues/blues.00063.wav,True,False,False,False,False,False,False,False,False,False
